Date,Price,Open,High,Low,Vol.,Change %
01-Apr-21,"13,480.10","13,414.30","13,487.10","13,404.20",939.16M,1.76%
31-Mar-21,"13,246.90","13,122.60","13,325.50","13,118.40",1.21B,1.54%
30-Mar-21,"13,045.40","13,008.80","13,075.80","12,922.60",983.51M,-0.11%
29-Mar-21,"13,059.60","13,104.00","13,143.40","12,968.20",1.06B,-0.60%
26-Mar-21,"13,138.70","12,996.00","13,149.60","12,878.70",1.14B,1.24%
25-Mar-21,"12,977.70","12,844.60","13,021.90","12,786.80",1.17B,0.12%
24-Mar-21,"12,961.90","13,289.20","13,292.90","12,961.40",1.19B,-2.01%
23-Mar-21,"13,227.70","13,381.40","13,405.10","13,202.40",1.19B,-1.12%
22-Mar-21,"13,377.50","13,278.80","13,455.60","13,278.80",1.11B,1.23%
19-Mar-21,"13,215.20","13,119.90","13,252.40","13,039.50",2.93B,0.76%
18-Mar-21,"13,116.20","13,349.20","13,384.50","13,101.90",1.22B,-3.02%
17-Mar-21,"13,525.20","13,336.90","13,595.00","13,272.70",1.18B,0.40%
16-Mar-21,"13,471.60","13,523.20","13,620.70","13,397.10",1.10B,0.09%
15-Mar-21,"13,459.70","13,323.50","13,460.30","13,272.50",1.13B,1.05%
12-Mar-21,"13,319.90","13,222.80","13,324.70","13,158.70",1.09B,-0.59%
11-Mar-21,"13,398.70","13,273.30","13,433.60","13,246.30",1.19B,2.52%
10-Mar-21,"13,068.80","13,234.70","13,277.10","13,035.40",1.22B,-0.04%
09-Mar-21,"13,073.80","12,923.10","13,151.50","12,882.50",1.28B,3.69%
08-Mar-21,"12,609.20","12,904.30","13,001.00","12,599.20",1.27B,-2.41%
05-Mar-21,"12,920.10","12,860.00","12,941.20","12,397.10",1.56B,1.55%
04-Mar-21,"12,723.50","12,954.00","13,068.70","12,554.00",1.58B,-2.11%
03-Mar-21,"12,997.80","13,336.30","13,372.50","12,995.10",1.16B,-2.70%
02-Mar-21,"13,358.80","13,599.40","13,601.30","13,352.00",1.08B,-1.69%
01-Mar-21,"13,588.80","13,406.20","13,596.60","13,362.70",1.10B,3.01%
26-Feb-21,"13,192.30","13,232.90","13,368.10","13,024.50",1.44B,0.56%
25-Feb-21,"13,119.40","13,512.60","13,602.90","13,066.40",1.33B,-3.52%
24-Feb-21,"13,598.00","13,400.30","13,607.40","13,286.60",1.24B,0.99%
23-Feb-21,"13,465.20","13,262.60","13,526.10","13,004.00",1.64B,-0.50%
22-Feb-21,"13,533.00","13,714.20","13,757.10","13,531.00",1.37B,-2.46%
19-Feb-21,"13,874.50","13,929.20","13,985.60","13,842.60",1.31B,0.07%
18-Feb-21,"13,865.40","13,814.70","13,906.00","13,714.30",1.24B,-0.72%
17-Feb-21,"13,965.50","13,911.60","13,976.40","13,804.30",1.35B,-0.58%
16-Feb-21,"14,047.50","14,152.20","14,175.10","13,995.40",1.49B,-0.34%
12-Feb-21,"14,095.50","13,979.20","14,102.00","13,937.70",1.32B,0.50%
11-Feb-21,"14,025.80","14,045.20","14,058.90","13,916.80",1.98B,0.38%
10-Feb-21,"13,972.50","14,093.30","14,109.10","13,845.50",1.83B,-0.25%
09-Feb-21,"14,007.70","13,966.80","14,044.90","13,966.60",1.52B,0.14%
08-Feb-21,"13,987.60","13,937.10","13,987.70","13,894.10",1.61B,0.95%
05-Feb-21,"13,856.30","13,824.90","13,878.20","13,761.70",1.26B,0.57%
04-Feb-21,"13,777.70","13,674.10","13,778.40","13,631.60",1.29B,1.23%
03-Feb-21,"13,610.50","13,718.30","13,723.80","13,585.30",1.36B,-0.02%
02-Feb-21,"13,612.80","13,543.10","13,652.70","13,535.90",1.43B,1.56%
01-Feb-21,"13,403.40","13,226.20","13,431.50","13,132.50",1.39B,2.55%
29-Jan-21,"13,070.70","13,284.70","13,322.00","12,985.10",1.78B,-2.00%
28-Jan-21,"13,337.20","13,323.30","13,507.60","13,316.50",2.16B,0.50%
27-Jan-21,"13,270.60","13,486.60","13,538.40","13,192.90",2.19B,-2.61%
26-Jan-21,"13,626.10","13,681.70","13,702.70","13,603.20",1.25B,-0.07%
25-Jan-21,"13,636.00","13,681.20","13,729.00","13,368.70",1.43B,0.69%
22-Jan-21,"13,543.10","13,474.80","13,567.10","13,463.70",1.13B,0.09%
21-Jan-21,"13,530.90","13,521.50","13,560.40","13,454.10",1.34B,0.55%
20-Jan-21,"13,457.20","13,342.50","13,486.10","13,329.80",1.29B,1.97%
19-Jan-21,"13,197.20","13,132.70","13,206.90","13,078.70",1.22B,1.53%
15-Jan-21,"12,998.50","13,099.90","13,139.80","12,949.80",1.26B,-0.87%
14-Jan-21,"13,112.60","13,174.80","13,220.20","13,098.40",1.21B,-0.12%
13-Jan-21,"13,129.00","13,088.00","13,171.10","13,051.10",1.27B,0.43%
12-Jan-21,"13,072.40","13,062.10","13,105.00","12,963.90",1.25B,0.28%
11-Jan-21,"13,036.40","13,048.80","13,138.30","12,999.50",1.24B,-1.25%
08-Jan-21,"13,202.00","13,160.20","13,208.10","13,036.50",1.33B,1.03%
07-Jan-21,"13,067.50","12,867.30","13,090.90","12,867.30",1.25B,2.56%
06-Jan-21,"12,740.80","12,666.20","12,909.60","12,650.00",1.45B,-0.61%
05-Jan-21,"12,819.00","12,665.70","12,828.30","12,665.60",1.21B,0.95%
04-Jan-21,"12,698.40","12,958.50","12,958.70","12,543.20",1.27B,-1.47%
31-Dec-20,"12,888.30","12,877.10","12,902.10","12,821.20",987.15M,0.14%
30-Dec-20,"12,870.00","12,906.50","12,924.90","12,857.80",954.01M,0.15%
29-Dec-20,"12,850.20","12,965.40","12,973.30","12,822.00",896.81M,-0.38%
28-Dec-20,"12,899.40","12,914.60","12,930.90","12,827.40",978.34M,0.74%
24-Dec-20,"12,804.70","12,791.50","12,833.60","12,767.60",584.09M,0.26%
23-Dec-20,"12,771.10","12,834.90","12,841.90","12,758.70",1.23B,-0.29%
22-Dec-20,"12,807.90","12,785.20","12,840.60","12,695.30",1.11B,0.51%
21-Dec-20,"12,742.50","12,596.10","12,751.30","12,525.20",1.11B,-0.10%
18-Dec-20,"12,755.60","12,804.90","12,809.60","12,654.60",2.81B,-0.07%
17-Dec-20,"12,764.70","12,730.80","12,765.30","12,696.40",1.02B,0.84%
16-Dec-20,"12,658.20","12,611.00","12,687.30","12,566.40",985.82M,0.50%
15-Dec-20,"12,595.10","12,543.30","12,596.10","12,465.40",915.62M,1.25%
14-Dec-20,"12,440.00","12,447.40","12,543.00","12,432.70",983.31M,0.50%
