Date,Price,Open,High,Low,Vol.,Change %
21-Jun-21,"28,489.00","28,501.64","28,590.22","28,314.93",2.18B,-1.08%
18-Jun-21,"28,801.27","28,586.04","28,830.85","28,532.08",3.76B,0.85%
17-Jun-21,"28,558.59","28,240.88","28,558.59","28,216.09",1.89B,0.43%
16-Jun-21,"28,436.84","28,609.37","28,648.64","28,403.64",2.05B,-0.70%
15-Jun-21,"28,638.53","28,946.44","28,946.44","28,453.48",2.38B,-0.71%
11-Jun-21,"28,842.13","28,864.90","28,965.15","28,743.82",2.04B,0.36%
10-Jun-21,"28,738.88","28,792.02","28,954.40","28,664.94",1.94B,-0.01%
09-Jun-21,"28,742.63","28,771.14","28,859.58","28,687.69",1.81B,-0.13%
08-Jun-21,"28,781.38","28,900.52","28,979.20","28,638.31",1.63B,-0.02%
07-Jun-21,"28,787.28","28,985.60","29,003.99","28,615.61",2.57B,-0.45%
04-Jun-21,"28,918.10","28,837.95","29,023.18","28,737.97",3.05B,-0.17%
03-Jun-21,"28,966.03","29,365.32","29,377.90","28,902.67",2.24B,-1.13%
02-Jun-21,"29,297.62","29,414.64","29,490.61","29,208.73",1.93B,-0.58%
01-Jun-21,"29,468.00","29,159.06","29,480.16","29,036.45",1.83B,1.08%
31-May-21,"29,151.80","29,225.46","29,225.46","28,909.52",2.19B,0.09%
28-May-21,"29,124.41","29,219.46","29,336.13","29,033.72",2.59B,0.04%
27-May-21,"29,113.20","28,998.39","29,157.95","28,950.72",3.80B,-0.18%
26-May-21,"29,166.01","29,056.28","29,261.86","29,027.95",2.52B,0.88%
25-May-21,"28,910.86","28,461.50","28,929.24","28,461.50",2.35B,1.75%
24-May-21,"28,412.26","28,417.99","28,444.36","28,195.52",1.72B,-0.16%
21-May-21,"28,458.44","28,584.34","28,584.34","28,286.92",1.65B,0.03%
20-May-21,"28,450.29","28,413.49","28,508.24","28,293.23",2.47B,-0.50%
18-May-21,"28,593.81","28,438.03","28,617.34","28,438.03",2.07B,1.42%
17-May-21,"28,194.09","28,130.51","28,268.39","28,074.14",1.86B,0.59%
14-May-21,"28,027.57","27,872.69","28,064.01","27,715.88",1.88B,1.11%
13-May-21,"27,718.67","27,920.01","28,060.93","27,718.67",2.17B,-1.81%
12-May-21,"28,231.04","28,073.92","28,231.04","27,897.47",2.13B,0.78%
11-May-21,"28,013.81","28,286.56","28,286.56","27,910.71",2.38B,-2.03%
10-May-21,"28,595.66","28,776.99","28,842.11","28,453.14",2.36B,-0.05%
07-May-21,"28,610.65","28,721.13","28,884.03","28,530.71",2.21B,-0.09%
06-May-21,"28,637.46","28,647.97","28,753.97","28,384.12",2.48B,0.77%
05-May-21,"28,417.98","28,427.67","28,677.36","28,325.96",1.72B,-0.49%
04-May-21,"28,557.14","28,438.15","28,577.52","28,321.34",1.92B,0.70%
03-May-21,"28,357.54","28,659.91","28,684.83","28,256.03",1.73B,-1.28%
30-Apr-21,"28,724.88","29,143.43","29,154.75","28,701.69",2.58B,-1.97%
29-Apr-21,"29,303.26","29,268.21","29,405.12","29,162.87",1.84B,0.80%
28-Apr-21,"29,071.34","28,991.94","29,071.34","28,887.33",2.07B,0.45%
27-Apr-21,"28,941.54","28,895.38","29,045.11","28,793.22",1.83B,-0.04%
